link,gender,type,images,idx
https://kr.puma.com/puma-x-th-aop-shorts.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/9/596752_02_01_KOR.jpg,360
https://kr.puma.com/puma-x-th-reflective-shorts.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/9/598024_01_01_KOR.jpg,361
https://kr.puma.com/active-woven-short-5.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/8/5/851704_01_01_KOR_01.jpg,362
https://kr.puma.com/active-woven-short-5-11.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/8/5/851704_02_01_KOR.jpg,363
https://kr.puma.com/puma-woven-short-9.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/518387_06_01_KOR.jpg,364
https://kr.puma.com/classics-woven-shorts-7.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/9/2/929317_01_01_KOR.jpg,365
https://kr.puma.com/classics-woven-shorts-14.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/9/2/929317_02_01_KOR.jpg,366
https://kr.puma.com/classics-woven-shorts.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/9/2/929317_03_01_KOR.jpg,367
https://kr.puma.com/first-mile-woven-short.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/519027_01_01_KOR.jpg,368
https://kr.puma.com/training-basic-woven-shorts.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/9/2/929312_01_01_KOR.jpg,369
https://kr.puma.com/training-basic-woven-shorts-1.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/9/2/929312_02_01_KOR.jpg,370
https://kr.puma.com/downtown-shorts-7.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/9/596372_18_01_KOR.jpg,371
https://kr.puma.com/downtown-shorts-7-7.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/9/596372_25_01_KOR.jpg,372
https://kr.puma.com/reactive-knit-short.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/518986_01_01_KOR.jpg,373
https://kr.puma.com/reactive-knit-short-7.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/1/518986_03_01_KOR.jpg,374
https://kr.puma.com/classics-shorts-10.html,M,BOTTOM,http://d8wtay8lm19fy.cloudfront.net/puma_product/420x/5/9/596264_01_01_KOR.jpg,375
