,target_num,prod_num,similarity
0,672,672,1.0000001192092896
1,672,182,0.8671770691871643
2,672,1326,0.8651320934295654
3,672,709,0.8565470576286316
4,672,806,0.8529050946235657
5,672,639,0.8482944369316101
6,672,169,0.8467312455177307
7,672,641,0.845883846282959
8,672,647,0.8457379341125488
9,672,1259,0.845572292804718
10,672,867,0.8436686396598816
11,672,783,0.8420118689537048
12,672,1337,0.8393819332122803
13,672,164,0.8382893204689026
14,672,1331,0.8349196314811707
15,672,719,0.8334981799125671
16,672,1241,0.8332696557044983
17,672,1269,0.831952691078186
18,672,441,0.8319376707077026
19,672,374,0.8317142724990845
20,672,663,0.8315337896347046
21,672,637,0.8307831287384033
22,672,645,0.829765796661377
23,672,675,0.8295925855636597
24,672,1313,0.8290155529975891
25,672,77,0.8287131190299988
26,672,162,0.826988160610199
27,672,63,0.8267415761947632
28,672,1272,0.8260999917984009
29,672,1265,0.8247050046920776
30,672,1206,0.8245559930801392
31,672,633,0.8244102597236633
32,672,749,0.8243091702461243
33,672,803,0.8233300447463989
34,672,1324,0.8219989538192749
35,672,740,0.8218043446540833
36,672,640,0.8207758665084839
37,672,62,0.8195568323135376
38,672,1329,0.819449782371521
39,672,662,0.8190648555755615
40,672,173,0.8189198970794678
41,672,1202,0.8167497515678406
42,672,1209,0.8164276480674744
43,672,1288,0.8155941963195801
44,672,172,0.8149681091308594
45,672,1216,0.8136646151542664
46,672,183,0.8134859800338745
47,672,1268,0.813090980052948
48,672,1242,0.8117715716362
49,672,1291,0.8117085099220276
50,672,1217,0.8115677237510681
51,672,653,0.8115387558937073
52,672,133,0.8113027215003967
53,672,1281,0.8099396228790283
54,672,45,0.8093300461769104
55,672,613,0.8086429834365845
56,672,394,0.8071691989898682
57,672,660,0.8067315220832825
58,672,439,0.8066868782043457
59,672,617,0.8060387372970581
60,672,1196,0.8059279918670654
61,672,43,0.8055264949798584
62,672,206,0.804890513420105
63,672,720,0.8043732643127441
64,672,1275,0.8043696284294128
65,672,611,0.8041101098060608
66,672,434,0.8037253618240356
67,672,767,0.8034875392913818
68,672,807,0.8032118082046509
69,672,1225,0.8020765781402588
70,672,1233,0.8019790649414062
71,672,761,0.8018690347671509
72,672,1290,0.8001709580421448
73,672,55,0.8001090288162231
74,672,410,0.7996501326560974
75,672,769,0.7984067797660828
76,672,760,0.7982960939407349
77,672,1205,0.7977240681648254
78,672,1240,0.7975218296051025
79,672,686,0.7974161505699158
80,672,427,0.7969813942909241
81,672,1197,0.7968916893005371
82,672,151,0.7967096567153931
83,672,44,0.7962822914123535
84,672,1317,0.796101450920105
85,672,372,0.795927882194519
86,672,642,0.7953802943229675
87,672,632,0.7950611710548401
88,672,400,0.7943646907806396
89,672,652,0.7936301231384277
90,672,1298,0.7934605479240417
91,672,426,0.7932422161102295
92,672,1235,0.7926382422447205
93,672,1283,0.7920171022415161
94,672,797,0.7916840314865112
95,672,421,0.7900497317314148
96,672,428,0.789978563785553
97,672,717,0.7897400856018066
98,672,406,0.7871159911155701
99,672,712,0.7871150970458984
100,672,168,0.7870995998382568
101,672,424,0.78635174036026
102,672,147,0.7862024903297424
103,672,833,0.7861323952674866
104,672,48,0.7851623296737671
105,672,186,0.785089373588562
106,672,1204,0.7847560048103333
107,672,626,0.7844805717468262
108,672,882,0.7837744951248169
109,672,692,0.7832952737808228
110,672,395,0.7822359800338745
111,672,674,0.7821938991546631
112,672,1300,0.7821135520935059
113,672,171,0.7815215587615967
114,672,733,0.7814208269119263
115,672,1340,0.7813511490821838
116,672,180,0.7808977365493774
117,672,824,0.7802914977073669
118,672,790,0.7796314358711243
119,672,383,0.7792629599571228
120,672,127,0.7789865136146545
121,672,393,0.7789469361305237
122,672,1524,0.7789462208747864
123,672,685,0.7782534956932068
124,672,884,0.7781410217285156
125,672,59,0.777130663394928
126,672,153,0.7763387560844421
127,672,658,0.7763332724571228
128,672,780,0.7762735486030579
129,672,148,0.7761285305023193
130,672,785,0.7755255103111267
131,672,881,0.7754673957824707
132,672,624,0.7751995325088501
133,672,728,0.7750245928764343
134,672,420,0.775015115737915
135,672,1271,0.7746261358261108
136,672,139,0.7746018171310425
137,672,155,0.7745445966720581
138,672,679,0.7741162776947021
139,672,817,0.7740845680236816
140,672,873,0.7733402848243713
141,672,323,0.7732815742492676
142,672,815,0.7729895114898682
143,672,646,0.7718444466590881
144,672,1284,0.7717087268829346
145,672,1322,0.7714465260505676
146,672,345,0.7712382674217224
147,672,631,0.7708149552345276
148,672,1231,0.7704814672470093
149,672,871,0.7696502208709717
150,672,888,0.7694757580757141
151,672,705,0.769447922706604
152,672,610,0.7692720293998718
153,672,721,0.7691954374313354
154,672,1306,0.7679147720336914
155,672,800,0.7673854827880859
156,672,1518,0.7671829462051392
157,672,707,0.7670649886131287
158,672,154,0.7670472860336304
159,672,1320,0.7669496536254883
